uuid,chineseName,englishName,country,city,website,description
550e8400-e29b-41d4-a716-446655440001,浙江大学,Zhejiang University,China,Hangzhou,https://www.zju.edu.cn,"Top Chinese university with strong condensed matter physics program; home to multiple ARPES groups studying quantum materials and superconductors."
550e8400-e29b-41d4-a716-446655440002,清华大学,Tsinghua University,China,Beijing,https://www.tsinghua.edu.cn,"China's premier research university; Department of Physics hosts leading ARPES laboratories focused on topological quantum materials and strongly correlated electron systems."
550e8400-e29b-41d4-a716-446655440003,北京大学,Peking University,China,Beijing,https://www.pku.edu.cn,"Elite Chinese university with International Center for Quantum Materials (ICQM); ARPES research on high-temperature superconductors and topological matter."
550e8400-e29b-41d4-a716-446655440004,复旦大学,Fudan University,China,Shanghai,https://www.fudan.edu.cn,"Key ARPES center in China; Applied Surface Physics State Key Laboratory conducts cutting-edge ARPES studies on novel quantum materials."
550e8400-e29b-41d4-a716-446655440005,中国科学技术大学,University of Science and Technology of China,China,Hefei,https://www.ustc.edu.cn,"Major hub for quantum materials research in China; Hefei National Laboratory for Physical Sciences at the Microscale houses multiple ARPES systems."
550e8400-e29b-41d4-a716-446655440006,南京大学,Nanjing University,China,Nanjing,https://www.nju.edu.cn,"National Laboratory of Solid State Microstructures hosts world-class ARPES facilities; strong research on superconductors and topological semimetals."
550e8400-e29b-41d4-a716-446655440007,上海交通大学,Shanghai Jiao Tong University,China,Shanghai,https://www.sjtu.edu.cn,"Tsung-Dao Lee Institute and School of Physics conduct ARPES research on quantum materials; growing ARPES capability with multiple beamline access."
550e8400-e29b-41d4-a716-446655440008,中国科学院物理研究所,Institute of Physics - Chinese Academy of Sciences,China,Beijing,https://www.iop.cas.cn,"China's flagship physics research institute; home to the renowned Zhou Xingjiang ARPES group with multiple state-of-the-art ARPES systems including laser-based ARPES."
550e8400-e29b-41d4-a716-446655440009,None,Stanford University,USA,Stanford CA,https://www.stanford.edu,"Home of the Shen Lab at Stanford Institute for Materials and Energy Sciences (SIMES); world leaders in ARPES with access to SSRL synchrotron beamlines."
550e8400-e29b-41d4-a716-446655440010,None,Massachusetts Institute of Technology,USA,Cambridge MA,https://www.mit.edu,"Department of Physics hosts leading condensed matter groups; ARPES research on topological materials, quantum spin liquids, and strongly correlated systems."
