uuid,name,level,description,parentUuid
990e8400-0001-0000-0000-000000000000,Quantum Materials,1,"Study of materials where quantum mechanical effects manifest at the macroscopic scale, giving rise to emergent phenomena such as superconductivity, topological order, and quantum spin liquids.",NULL
990e8400-0001-0000-0000-000000000001,Strongly Correlated Systems,1,"Systems where electron-electron interactions dominate, leading to phenomena beyond single-particle band theory: Mott insulators, heavy fermions, non-Fermi liquid behavior, and emergent orders.",NULL
990e8400-0001-0000-0000-000000000002,Topological Materials,1,"Materials with topologically non-trivial electronic band structures, including topological insulators, Weyl/Dirac semimetals, nodal-line semimetals, and topological superconductors.",NULL
990e8400-0001-0000-0000-000000000003,2D Materials,1,"Atomically thin layered materials exhibiting novel electronic, optical, and mechanical properties: graphene, transition metal dichalcogenides (TMDs), hexagonal boron nitride, and van der Waals heterostructures.",NULL
990e8400-0001-0000-0000-000000000004,Superconductors,1,"Materials exhibiting zero electrical resistance below a critical temperature; encompassing conventional (BCS), unconventional (cuprates, iron-based, heavy fermion), and topological superconductors.",NULL
990e8400-0001-0000-0000-000000000005,Surface Science,1,"Study of physical and chemical phenomena at solid surfaces and interfaces using photoemission and complementary techniques: surface states, adsorbates, catalysis, and thin film growth.",NULL
990e8400-0002-0000-0000-000000000001,High-Tc Cuprate Superconductors,2,"Copper-oxide based superconductors with high critical temperatures; study of pseudogap phase, strange metal behavior, charge density wave order, and the mechanism of unconventional superconductivity.",990e8400-0001-0000-0000-000000000004
990e8400-0002-0000-0000-000000000002,Iron-Based Superconductors,2,"Iron-pnictide and iron-chalcogenide superconductors discovered in 2008; electronic structure, gap symmetry, nematic order, orbital-selective physics, and the interplay between magnetism and superconductivity.",990e8400-0001-0000-0000-000000000004
990e8400-0002-0000-0000-000000000003,Heavy Fermion Materials,2,"Intermetallic compounds with f-electron elements (Ce, Yb, U) showing extremely large effective electron masses; quantum criticality, unconventional superconductivity, and Kondo physics.",990e8400-0001-0000-0000-000000000001
990e8400-0002-0000-0000-000000000004,Topological Insulators,2,"Bulk-insulating materials with topologically protected conducting surface/edge states (e.g., Bi2Se3, Bi2Te3, Sb2Te3); spin-momentum locking, quantum anomalous Hall effect, and axion insulator physics.",990e8400-0001-0000-0000-000000000002
990e8400-0002-0000-0000-000000000005,Weyl and Dirac Semimetals,2,"Three-dimensional topological semimetals with band-touching points (Weyl/Dirac nodes) in the bulk; Fermi arc surface states, chiral anomaly, and large magnetoresistance.",990e8400-0001-0000-0000-000000000002
990e8400-0002-0000-0000-000000000006,Graphene,2,"Single-layer carbon atoms arranged in a honeycomb lattice; Dirac cone electronic structure, massless Dirac fermions, twistronics, and correlated phases in magic-angle bilayer graphene.",990e8400-0001-0000-0000-000000000003
990e8400-0002-0000-0000-000000000007,Transition Metal Dichalcogenides (TMDs),2,"Layered materials of the form MX2 (M=Mo,W; X=S,Se,Te); valleytronics, Ising superconductivity, charge density waves, and Mott insulating phases in TMD heterostructures.",990e8400-0001-0000-0000-000000000003
990e8400-0002-0000-0000-000000000008,Charge Density Wave Systems,2,"Materials exhibiting periodic modulation of electron density coupled to lattice distortion; interplay of CDW order with superconductivity, Mott physics, and topological states.",990e8400-0001-0000-0000-000000000001
990e8400-0002-0000-0000-000000000009,Kagome Lattice Materials,2,"Materials with kagome lattice geometry hosting flat bands, Dirac cones, and van Hove singularities; frustrated magnetism, charge order, and unconventional superconductivity (e.g., AV3Sb5 family).",990e8400-0001-0000-0000-000000000000
990e8400-0002-0000-0000-000000000010,ARPES Instrumentation and Methodology,2,"Development of advanced ARPES techniques: spin-resolved ARPES, time-resolved ARPES, micro/nano-ARPES, laser-based ARPES, in-situ combined systems (MBE-ARPES), and data analysis methods.",NULL
990e8400-0003-0000-0000-000000000001,Pseudogap in Cuprates,3,"The enigmatic partial suppression of electronic density of states above Tc in underdoped cuprates; competing order scenarios, Fermi arc phenomenology, and preformed pairs.",990e8400-0002-0000-0000-000000000001
990e8400-0003-0000-0000-000000000002,Nematic Order in Iron-Based Superconductors,3,"Spontaneous breaking of rotational symmetry in iron-based superconductors; electronic nematicity, its relationship to orbital order, and coupling to the lattice.",990e8400-0002-0000-0000-000000000002
990e8400-0003-0000-0000-000000000003,Quantum Spin Liquids,3,"Exotic magnetic ground states with long-range entanglement and fractionalized excitations; experimental signatures in ARPES and spectroscopic probes of candidate materials.",990e8400-0001-0000-0000-000000000000
990e8400-0003-0000-0000-000000000004,Twistronics and Moire Materials,3,"Electronic structure engineering through rotational stacking of 2D materials; magic-angle graphene, moire excitons, and correlated insulating/superconducting states in moire superlattices.",990e8400-0002-0000-0000-000000000006
990e8400-0003-0000-0000-000000000005,Time-Resolved ARPES (trARPES),3,"Ultrafast pump-probe ARPES to study non-equilibrium electronic dynamics; electron-phonon coupling dynamics, Floquet engineering, and photoinduced phase transitions on femtosecond timescales.",990e8400-0002-0000-0000-000000000010
990e8400-0003-0000-0000-000000000006,Nickel-Based Superconductors,3,"Recently discovered infinite-layer nickelate superconductors (Nd1-xSrxNiO2); electronic structure comparison with cuprates and search for high-Tc superconductivity in nickel oxides.",990e8400-0001-0000-0000-000000000004
990e8400-0003-0000-0000-000000000007,Antiferromagnetic Topological Insulators,3,"Intrinsic antiferromagnetic topological insulators (e.g., MnBi2Te4); axion insulator state, quantized magnetoelectric effect, and layered AFM topological phases.",990e8400-0002-0000-0000-000000000004
